boundary_id,feature_id,feature_name,feature_type,forcing_kind,normal_stage_m,elevated_stage_m,high_stage_m,very_high_stage_m,source_dataset,source_status
reservoir_RES00001_stage_template,RES00001,PRAKASAM BARRAGE,reservoir,stage_time_series_template,23.05823621791342,25.052188068472823,27.545285410051758,29.398606196279108,derived/rating_curves_v0/waterbody_stage_discharge_v0.csv,dem_bank_rating_curve_low_confidence_needs_observed_stage
river_RIVER001_stage_template,RIVER001,Krishna River,river,stage_time_series_template,18.178526401519775,20.220801262233568,22.37166853365691,25.913043478260867,derived/rating_curves_v0/waterbody_stage_discharge_v0.csv,dem_bank_rating_curve_low_confidence_needs_observed_stage
river_RIVER207_stage_template,RIVER207,Krishna,river,stage_time_series_template,21.1655325238601,23.722707923806233,26.273469685886216,27.748860436149265,derived/rating_curves_v0/waterbody_stage_discharge_v0.csv,dem_bank_rating_curve_low_confidence_needs_observed_stage
budameru_canal_WA0002_stage_template,WA0002,Budameru canal,budameru_canal,stage_time_series_template,20.654028560804285,21.608695652173914,22.73533061898273,23.60937789419423,derived/rating_curves_v0/waterbody_stage_discharge_v0.csv,dem_bank_rating_curve_low_confidence_needs_observed_stage
osm_bandar___machilipatnam_canal_ops_template,"178423444,182456534",Bandar / Machilipatnam Canal,osm_major_canal,stage_or_flow_operations_template,,,,,derived/osm_canals/major_canals_osm.geojson,requires_official_canal_operation_stage_or_discharge_series
osm_eluru_canal_ops_template,"665131445,1312642215,1312642216",Eluru Canal,osm_major_canal,stage_or_flow_operations_template,,,,,derived/osm_canals/major_canals_osm.geojson,requires_official_canal_operation_stage_or_discharge_series
osm_krishna_eastern_main_canal_ops_template,45068473,Krishna Eastern Main Canal,osm_major_canal,stage_or_flow_operations_template,,,,,derived/osm_canals/major_canals_osm.geojson,requires_official_canal_operation_stage_or_discharge_series
osm_ryves_canal_ops_template,45068590,Ryves Canal,osm_major_canal,stage_or_flow_operations_template,,,,,derived/osm_canals/major_canals_osm.geojson,requires_official_canal_operation_stage_or_discharge_series
osm_budameru_extended_stage_or_flow_template,"659810628,256964918,186012591,657404031,1313776391,845670530,1189782415,659810627,1312671207,1313776394,1313942781,1312671208",Budameru extended river/canal waterway,osm_budameru_waterway,stage_or_flow_operations_template,,,,,derived/osm_budameru/budameru_osm_waterways.geojson,requires_official_budameru_stage_discharge_or_channel_operation_series
