run_id,time_h,time_s,surface_volume_m3,wet_area_ha_gt_threshold,max_depth_m,mean_wet_depth_m,max_speed_m_s,rainfall_intensity_mm_h,budameru_inflow_m3s,breach_inflow_m3s,rainfall_cumulative_m3,infiltration_removed_m3,budameru_boundary_inflow_m3,breach_added_m3,drainage_removed_m3,pump_removed_m3,rainfall_total_mm,river_profile,budameru_profile,canal_profile,antecedent_depth_scale,budameru_inflow_scale,pump_availability,drainage_availability,drainage_sink_rate_mm_h,finaltime_s,yieldstep_s
hist12h_hist_extreme_2001_2025_12h_high_q100,0.0,0.0,12331598.645637762,1499.5010314021183,1.3999999999999986,1.023079997715982,0.0,6.358333333333333,1547.43,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,0.25,900.0,13779698.32113734,2001.3140796292337,5.000050065156078,0.7669782899779811,3.0387908112441098,6.358333333333333,1547.88,0.0,133818.32296821766,38622.260695317455,1393064.0965297048,0.0,38924.55895959618,1235.924358127301,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,0.5,1800.0,15224678.616198467,2001.518818845612,5.072065465110452,0.7748144594398536,2.899183645474117,6.358333333333333,1549.85,0.0,267636.64593644015,77552.05748851692,2786799.5776346372,0.0,81708.78720774595,2095.4083364856087,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,0.75,2700.0,16670355.58512707,2033.0193744471612,5.1030791847545345,0.7824096988556113,2.7229859217522847,6.358333333333333,1549.85,0.0,401454.9689046552,116582.11714461958,4181664.57763464,0.0,124973.92698797994,2806.5629891573026,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,1.0,3600.0,18116080.93566748,2041.8468786534604,5.121943406485109,0.841887633724063,2.5176933064586815,5.547916666666667,1549.85,0.0,535273.2918728683,155638.84710220073,5576529.577634637,0.0,168219.44609803575,3462.2863662384316,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,1.25,4500.0,19548564.201733172,2083.8032775243014,5.143405587361652,0.9325028859327488,2.335669503334155,5.547916666666667,1549.85,0.0,652035.478656747,194085.2942135152,6971394.577634741,0.0,208320.0603991885,4059.145670388673,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,1.5,5400.0,20981506.660998873,2110.5746062356957,5.169942967540205,1.0434168067178498,2.1695192146542444,5.547916666666667,1549.85,0.0,768797.6654406192,232451.11250597367,8366259.577634793,0.0,248113.70787259884,4584.407416018261,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,1.75,6300.0,22413816.594997652,2133.82057237495,5.206478044268636,1.1268735531776266,2.0271900020596125,5.547916666666667,1547.88,0.0,885559.852224488,270779.7527668984,9760124.691772835,0.0,287674.19332747516,5012.648625225024,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,2.0,7200.0,23845680.58276052,2190.8459284390156,5.255611121041039,1.2003623778044252,1.8772271194018315,4.890833333333333,1547.67,0.0,1002322.0390083516,309092.2517326419,11153210.393229982,0.0,326942.9959791928,5415.247479829382,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,2.25,8100.0,25265496.033881985,2224.761773765793,5.314055350162544,1.26268027092431,1.9186480863119149,4.890833333333333,1545.15,0.0,1105255.1631892745,346714.2738669587,12544797.610577255,0.0,363657.3460809612,5783.765662564559,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,2.5,9000.0,26683466.903518304,2357.8648111140856,5.3744276393872426,1.3034308489413753,2.0348416681138843,4.890833333333333,1543.51,0.0,1208188.287370226,384175.7591561543,13934697.621674083,0.0,400749.6790208039,6092.213062877658,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,2.75,9900.0,28098984.066638578,2478.5588250598908,5.431660621243836,1.3447521315751163,2.179117972777683,4.890833333333333,1540.79,0.0,1311121.4115511177,421535.5754942112,15322799.439808248,0.0,438623.08603787766,6376.768912871046,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,3.0,10800.0,29511589.9344694,2596.2621788157408,5.4852010853031,1.378342414443769,2.2708816522799276,4.39125,1539.03,0.0,1414054.5357320393,458903.4530343968,16708351.251442324,0.0,476853.81344502466,6657.231957788348,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,3.25,11700.0,30914265.92257789,2655.812391668295,5.533953874775765,1.406757116828396,2.330177211135267,4.39125,1535.22,0.0,1506473.3631083188,495527.2062865908,18091878.976296347,0.0,513240.2998195995,6917.556461200855,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,3.5,12600.0,32314105.188209858,2695.9993708652305,5.577702576789804,1.4282103108528896,2.4010929262158967,4.39125,1532.92,0.0,1598892.1904845675,532004.5542751974,19472418.991184477,0.0,549628.1849534712,7171.899964340154,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,3.75,13500.0,33711432.98940015,2753.111908889023,5.615538724225022,1.4504496292283875,2.460481684471296,4.39125,1529.64,0.0,1691311.0178608596,568441.2312594592,20850572.81225632,0.0,586156.6185980992,7451.636582841235,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,4.0,14400.0,35104794.183433324,2840.369480101443,5.647388155745361,1.4537778244530055,2.489551422481876,4.466666666666667,1525.38,0.0,1783729.8452371652,604849.3664671668,22225277.83946659,0.0,623215.3000973203,7747.480421867318,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,4.25,15300.0,36495562.6184605,2929.1685524530862,5.67418805212575,1.4728457494653535,2.488053872146864,4.466666666666667,1522.1,0.0,1877735.9017390795,641436.3455897161,23596645.66031605,0.0,660936.359872788,8044.883844208998,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,4.5,16200.0,37883097.58349157,3127.424874967572,5.696446385335214,1.4904091987923556,2.488272616322734,4.466666666666667,1518.83,0.0,1971741.9582409845,678069.2496020453,24965063.58101998,0.0,698894.6748292883,8342.677046238356,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,4.75,17100.0,39266543.06193124,3154.9028526834763,5.714516046573976,1.5047918031951983,2.4891723523703164,4.466666666666667,1513.58,0.0,2065748.0147429288,714690.5192094849,26329535.31415565,0.0,737007.799290732,8640.594180034594,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,5.0,18000.0,40646114.060014725,3179.011531407176,5.729865500857585,1.5158378068647107,2.4907725541620995,11.4875,1510.2,0.0,2159754.0712448377,751323.6286474431,27690279.53542964,0.0,775256.0349929836,8938.528722594316,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,5.25,18900.0,42144033.85473971,3260.1892792503527,5.7435568992498,1.5258592050005666,2.490453420491801,11.4875,1505.28,0.0,2401521.5131999715,791829.8085930563,29047246.16632623,0.0,834994.651345731,9508.010565653569,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,5.5,19800.0,43637411.09281293,3294.523306272135,5.7549917582412995,1.523969081676469,2.489944835535651,11.4875,1500.92,0.0,2643288.955155031,832366.2342719755,30400234.193648495,0.0,895104.0183492368,10240.449087761684,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,5.75,20700.0,45125753.60861769,3345.17784835962,5.764097478307523,1.5183942100870005,2.4882804697069503,11.4875,1495.45,0.0,2885056.397110164,872909.0927095987,31748433.927875016,0.0,955292.8809565544,11133.388409485058,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,6.0,21600.0,46609598.76725234,3358.560525838244,5.7717472136468615,1.5125434234610349,2.4861102232573664,16.445,1491.29,0.0,3126823.8390650335,913453.363610998,33092282.753867704,0.0,1015530.1138029398,12122.993988709244,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,6.25,22500.0,48192211.444995046,3434.774510938578,5.778472074339934,1.495794271336596,2.4840959857961704,16.445,1485.18,0.0,3472927.480671054,954157.606681936,34431868.89199644,0.0,1076393.1139080315,13632.852816847684,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,6.5,23400.0,49769344.127714984,3494.874887595931,5.783944982805156,1.4987555943000987,2.4831899162741427,16.445,1480.59,0.0,3819031.1222773055,994861.9977050738,35766225.42061442,0.0,1137262.1837052284,15386.879496014491,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,6.75,24300.0,51341719.84965239,3573.1267617411077,5.787921879926078,1.4967756364457254,2.483805363592409,16.445,1474.8,0.0,4165134.7638835018,1035566.3887282044,37095967.35668306,0.0,1198131.8320215994,17282.695911464,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,7.0,25200.0,52909331.10116108,3616.1516680306977,5.790923663379861,1.4965179712064354,2.48287549394774,21.097916666666663,1469.45,0.0,4511238.405489758,1076270.7797513446,38421019.689987876,0.0,1259001.5294284774,19253.33087683394,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,7.25,26100.0,54569602.0801845,3686.5647153427503,5.794033459246531,1.4933706498850476,2.4808071149914968,21.097916666666663,1464.86,0.0,4955267.9456926305,1116978.496298513,39741215.01854639,0.0,1319882.278443011,21618.75506495631,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,7.5,27000.0,56225665.61109436,3772.24239400964,5.796481957263111,1.505492625510089,2.478099586656473,21.097916666666663,1461.34,0.0,5399297.485895549,1157686.212845693,41057271.24043936,0.0,1380763.0274575634,24052.520681176684,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,7.75,27900.0,57880913.222972035,3834.3461515514177,5.799371747515327,1.519609994480154,2.4737247485458207,21.097916666666663,1461.77,0.0,5843327.02609841,1198393.9293928633,42372527.93776705,0.0,1441643.776472111,26502.680759058498,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,8.0,28800.0,59536899.73518078,3913.792928879886,5.802024711316697,1.530986094189147,2.4670852366508877,18.340416666666663,1462.07,0.0,6287356.566301271,1239101.6459400468,43688525.93590127,0.0,1502524.5254866488,28955.241325398303,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,8.25,29700.0,61132873.88181144,3993.2089891236383,5.802525272339203,1.5551681451047148,2.4562205527869674,18.340416666666663,1456.97,0.0,6673351.397368827,1279809.3624871972,45002365.16758128,0.0,1563405.2745011812,31226.691882453255,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,8.5,30600.0,62726309.64314459,4036.467213255845,5.803843773904074,1.5760560291449484,2.4389887620376296,18.340416666666663,1457.96,0.0,7059346.228436339,1320517.0790343522,46313635.46143181,0.0,1624286.02351569,33467.589908366084,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,8.75,31500.0,64321249.25791525,4140.021278013531,5.805307946116134,1.5975615445835258,2.4160167847791105,18.340416666666663,1458.96,0.0,7445341.059504041,1361224.7955815273,47626443.855221294,0.0,1685166.377605257,35743.12936183311,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,9.0,32400.0,65915421.76272387,4193.644852073924,5.805920056212635,1.617370376055069,2.3834221686250117,17.549583333333334,1455.91,0.0,7831335.89057169,1401932.5121286958,48938526.57415779,0.0,1746045.8447162665,38060.99090635187,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,9.25,33300.0,67489241.82046866,4213.605039014025,5.8060831638867185,1.6376893132733237,2.34415993064872,17.549583333333334,1453.05,0.0,8200686.738874231,1442640.049174222,50246862.59191308,0.0,1806921.9155770005,40344.191314881806,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,9.5,34200.0,69063055.30588004,4258.234370698258,5.80732185095717,1.658155427848327,2.2967655728717555,17.549583333333334,1453.65,0.0,8570037.587176818,1483346.8024599964,51555188.38818783,0.0,1867797.3789141024,42625.13386357481,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,9.75,35100.0,70637368.95704927,4317.901645645712,5.808695477967959,1.6771098877373751,2.242511906420255,17.549583333333334,1453.03,0.0,8939388.435479488,1524053.5557458207,52864013.99203592,0.0,1928672.780276138,44905.78019914808,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,10.0,36000.0,72211482.47253437,4372.358148751286,5.810818973413966,1.6934738595754422,2.1871125569561665,14.419583333333334,1454.45,0.0,9308739.283782031,1564760.3090315675,54172636.183221355,0.0,1989548.176928571,47183.154263608754,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,10.25,36900.0,73715473.91496508,4417.040526442842,5.809192877118399,1.7042403873141727,2.1332222280670265,14.419583333333334,1440.99,0.0,9612215.738759676,1605460.3684972352,55476763.866734795,0.0,2050410.1482785395,49233.81950145568,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,10.5,37800.0,75212476.63062878,4439.470767586828,5.81083581780679,1.718529211241884,2.083374058952422,14.419583333333334,1445.3,0.0,9915692.19373712,1646160.4279628778,56773829.13999214,0.0,2111269.680149993,51213.24083306411,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,10.75,38700.0,76717963.16309622,4481.865770360997,5.814744145511778,1.7321337723067922,2.038978297963326,14.419583333333334,1452.75,0.0,10219168.64871501,1686860.4874285683,58079333.99377355,0.0,2172128.674369368,53148.96342942672,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,11.0,39600.0,78222951.51644821,4488.427523294139,5.8160188908979755,1.7466154030550594,1.9988489714761233,7.7075,1446.01,0.0,10522645.10369293,1727541.2678719696,59384293.23556636,0.0,2232987.5245475248,55056.67622828755,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,11.25,40500.0,79570470.6853579,4480.095467926425,5.804366366570559,1.7634330785054189,1.9601397696956315,7.7075,1387.38,0.0,10684858.166488914,1767898.2332924206,60670780.29904528,0.0,2292189.058420445,56679.13417782605,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,11.5,41400.0,80868368.95837004,4491.109865862032,5.794898771532054,1.776462413449707,1.9199416140544512,7.7075,1367.17,0.0,10847071.229284838,1808083.3124776725,61904710.12436694,0.0,2348682.611524022,58245.11700126664,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,11.75,42300.0,82161024.33730519,4486.397711627138,5.789146365134243,1.789061831729842,1.8833724545367,7.7075,1360.82,0.0,11009284.292080734,1848187.8773719356,63132222.26379268,0.0,2404145.439753751,59747.54717036756,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
hist12h_hist_extreme_2001_2025_12h_high_q100,12.0,43200.0,83449848.08418787,4479.093964299831,5.784895867270119,1.800023989089565,1.8524516939864168,7.7075,1356.03,0.0,11171497.354876896,1888144.3326515807,64355173.193554245,0.0,2459091.873587205,61184.90372756489,132.7025,high,high,high,1.0,1.0,1.0,1.0,12.0,43200.0,900.0
